epoch,acc,loss,val_acc,val_loss
0,0.0830000013486,3.74091432929,0.164000003636,3.19482597351
1,0.161000003368,3.14691102624,0.240000005364,2.81773544312
2,0.278500006497,2.60420424521,0.540000014305,2.30392631531
3,0.362000008225,2.25008273542,0.412000007927,2.07021072388
4,0.44850001134,1.97731221318,0.576000013947,1.85359190464
5,0.49400001321,1.7850195843,0.628000017405,1.48955706596
6,0.542000013366,1.64758091271,0.724000020027,1.33493142605
7,0.621500016674,1.44764951468,0.780000011921,1.2152468586
8,0.64000001628,1.35572219253,0.776000007391,1.33978151321
9,0.680500014946,1.23957309425,0.888000001907,1.00958726883
10,0.698500016779,1.19144079447,0.820000002384,1.18941377163
11,0.750000011325,1.0913512367,0.907999997139,0.889674222469
12,0.774500009865,1.04284952998,0.927999994755,0.832352933884
13,0.786000006497,0.979162430763,0.971999998093,0.797385849953
14,0.809000003338,0.962232762277,0.947999989986,0.815572898388
15,0.824000005722,0.929797132611,0.947999992371,0.678391764164
16,0.826500003338,0.921282410771,0.947999997139,0.720369870663
17,0.836000001132,0.885560261011,0.955999991894,0.69919752121
18,0.852999998331,0.856107822955,0.987999997139,0.570929009914
19,0.841500003189,0.861804131418,0.971999995708,0.621918386221
